t,I
0.0,0.262711769922913
0.027777777777777776,0.5715184021766009
0.05555555555555555,0.7245856562219439
0.08333333333333333,0.6352584866198555
0.1111111111111111,0.5383220123648267
0.1388888888888889,0.46480054748514577
0.16666666666666666,0.4090308967018204
0.19444444444444445,0.3654805860352565
0.2222222222222222,0.33006703972215
0.25,0.29977737424189166
0.2777777777777778,0.27238724287693833
0.3055555555555556,0.2463088377779085
0.3333333333333333,0.22052135076988783
0.3611111111111111,0.19453711599425283
0.3888888888888889,0.16836162584367187
0.4166666666666667,0.14241672270424746
0.4444444444444444,0.11741566451687227
0.4722222222222222,0.09420307284891634
0.5,0.07359296950075743
0.5277777777777778,0.05624359048768573
0.5555555555555556,0.042594326928333176
0.5833333333333334,0.032871647884735004
0.6111111111111112,0.027187021893298313
0.6388888888888888,0.0258504056150402
0.6666666666666666,0.0302357502395152
0.6944444444444444,0.045012757359327374
0.7222222222222222,0.08376784179985781
0.75,0.1789383924912817
0.7777777777777778,0.36108372625821233
0.8055555555555556,0.5009584655580387
0.8333333333333334,0.4248575168281936
0.8611111111111112,0.2945295998523552
0.8888888888888888,0.20022581625883198
0.9166666666666666,0.1386367175334744
0.9444444444444444,0.09867311697052024
0.9722222222222222,0.07253894481232329
1.0,0.055357333176202866
1.0277777777777777,0.04425702108347125
1.0555555555555556,0.03785816837837129
1.0833333333333333,0.036288802222288315
1.1111111111111112,0.042276450600014046
1.1388888888888888,0.0660000964907281
1.1666666666666667,0.14425658310641415
1.1944444444444444,0.38402614477629754
1.2222222222222223,0.7740448917845281
1.25,0.8622169967545792
1.2777777777777777,0.7922347847221952
1.3055555555555556,0.7128929485192249
1.3333333333333333,0.63270967315012
1.3611111111111112,0.5519275685346888
1.3888888888888888,0.47157102000973167
1.4166666666666667,0.3934439430393905
1.4444444444444444,0.31975070913418757
1.4722222222222223,0.2526569824662084
1.5,0.19388750403833294
1.5277777777777777,0.14444826855018084
1.5555555555555556,0.10452579749363863
1.5833333333333333,0.07356353281954423
1.6111111111111112,0.050467093000327375
1.6388888888888888,0.033865980777825044
1.6666666666666667,0.02236483020836924
1.6944444444444444,0.014739094823092082
1.7222222222222223,0.01004850727584795
1.75,0.007674606869858314
1.7777777777777777,0.007429795948807773
1.8055555555555556,0.010250367783795825
1.8333333333333333,0.0213779560885502
1.8611111111111112,0.06682705643989224
1.8888888888888888,0.2818874781998235
1.9166666666666667,1.0316150177048684
1.9444444444444444,1.2764597100282011
1.9722222222222223,0.9303124025266132
2.0,0.6892088756388298
2.0277777777777777,0.5262398497475634
2.0555555555555554,0.4143808140090007
2.0833333333333335,0.33625646885533195
2.111111111111111,0.28067227657948823
2.138888888888889,0.24030854593288883
2.1666666666666665,0.21027947126897917
2.1944444444444446,0.18723809656456214
2.2222222222222223,0.16882426876345877
2.25,0.15333098180062854
2.2777777777777777,0.1395140452212041
2.3055555555555554,0.12649996091001733
2.3333333333333335,0.11376244831931115
2.361111111111111,0.10114024544742298
2.388888888888889,0.08886035892471769
2.4166666666666665,0.07752521597177695
2.4444444444444446,0.068041310535954
2.4722222222222223,0.06152422231584458
2.5,0.05929634577618989
2.5277777777777777,0.06314523918245568
2.5555555555555554,0.07590548205802862
2.5833333333333335,0.10181431373682452
2.611111111111111,0.14416057502917679
