tau,Mmax
10,0.9168674698795181
12,0.8873493975903615
14,0.8710843373493976
16,0.8602409638554217
18,0.844578313253012
20,0.8493975903614458
22,0.846987951807229
24,0.8259036144578313
26,0.827710843373494
28,0.8289156626506025
30,0.8385542168674699
32,0.8409638554216867
34,0.8379518072289157
36,0.8475903614457831
38,0.8487951807228916
40,0.8506024096385543
42,0.8566265060240964
