t,I
0,3.360058336
0.027777778,4.034278076
0.055555556,4.334002987
0.083333333,4.154240082
0.111111111,3.635958489
0.138888889,3.006820472
0.166666667,2.426793996
0.194444444,1.960385554
0.222222222,1.61266435
0.25,1.365091688
0.277777778,1.194834001
0.305555556,1.081971972
0.333333333,1.010893116
0.361111111,0.969588035
0.388888889,0.948519879
0.416666667,0.939708392
0.444444444,0.936238486
0.472222222,0.932208452
0.5,0.923003146
0.527777778,0.905681546
0.555555556,0.879242435
0.583333333,0.844604041
0.611111111,0.804273266
0.638888889,0.761815178
0.666666667,0.721302655
0.694444444,0.686917946
0.722222222,0.662824589
0.75,0.653375148
0.777777778,0.663702536
0.805555556,0.700775662
0.833333333,0.775073425
0.861111111,0.903068115
0.888888889,1.110414276
0.916666667,1.434182573
0.944444444,1.917584939
0.972222222,2.581447159
1,3.358196152
1.027777778,4.034044111
1.055555556,4.335583956
1.083333333,4.156854855
1.111111111,3.638588165
1.138888889,3.008876214
1.166666667,2.428151548
1.194444444,1.961151274
1.222222222,1.612996362
1.25,1.365125224
1.277777778,1.194666153
1.305555556,1.081668102
1.333333333,1.010497484
1.361111111,0.969132886
1.388888889,0.948031774
1.416666667,0.93921183
1.444444444,0.93575714
1.472222222,0.931764468
1.5,0.922615279
1.527777778,0.905363123
1.555555556,0.879000092
1.583333333,0.844437769
1.611111111,0.804177704
1.638888889,0.761781663
1.666666667,0.721321403
1.694444444,0.6869799
1.722222222,0.662922735
1.75,0.653505347
1.777777778,0.663864045
1.805555556,0.700971565
1.833333333,0.775311063
1.861111111,0.903359259
1.888888889,1.110773779
1.916666667,1.434621922
1.944444444,1.918093569
1.972222222,2.581956815
2,3.358554649
2.027777778,4.03407869
2.055555556,4.335261319
2.083333333,4.156332175
2.111111111,3.638067025
2.138888889,3.008471526
2.166666667,2.427886273
2.194444444,1.961003326
2.222222222,1.612933949
2.25,1.365121403
2.277777778,1.194701679
2.305555556,1.081730065
2.333333333,1.010577159
2.361111111,0.969223927
2.388888889,0.948128949
2.416666667,0.939310319
2.444444444,0.93585229
2.472222222,0.931851939
2.5,0.922691415
2.527777778,0.905425349
2.555555556,0.87904716
2.583333333,0.84446974
2.611111111,0.804195691
2.638888889,0.761787415
2.666666667,0.721316878
2.694444444,0.686966901
2.722222222,0.66290265
2.75,0.653478991
2.777777778,0.663831559
2.805555556,0.700932335
2.833333333,0.775263638
2.861111111,0.903301325
2.888888889,1.110702437
2.916666667,1.434534978
2.944444444,1.917993246
2.972222222,2.58185677
3,3.358485029
3.027777778,4.034073408
3.055555556,4.335326456
3.083333333,4.156436282
3.111111111,3.638170234
3.138888889,3.00855132
3.166666667,2.427938325
3.194444444,1.961032138
3.222222222,1.612945874
3.25,1.365121795
3.277777778,1.194694349
3.305555556,1.081717565
3.333333333,1.010561211
3.361111111,0.969205782
3.388888889,0.94810964
3.416666667,0.939290797
3.444444444,0.935833472
3.472222222,0.931834678
3.5,0.922676429
3.527777778,0.905413138
3.555555556,0.879037962
3.583333333,0.844463537
3.611111111,0.804192254
3.638888889,0.761786394
3.666666667,0.721317882
3.694444444,0.686969571
3.722222222,0.662906712
3.75,0.653484285
3.777777778,0.663838057
3.805555556,0.700940158
3.833333333,0.775273075
3.861111111,0.903312831
3.888888889,1.110716581
3.916666667,1.434552183
3.944444444,1.918013055
3.972222222,2.581876462
4,3.358498634
4.027777778,4.03407425
4.055555556,4.335313397
4.083333333,4.156415592
4.111111111,3.638149798
4.138888889,3.008535567
4.166666667,2.427928082
4.194444444,1.961026498
4.222222222,1.61294357
4.25,1.365121765
4.277777778,1.194695839
4.305555556,1.081720069
4.333333333,1.010564391
4.361111111,0.969209389
4.388888889,0.948113472
4.416666667,0.939294664
4.444444444,0.935837194
4.472222222,0.931838088
4.5,0.922679384
4.527777778,0.905415541
4.555555556,0.879039767
4.583333333,0.844464748
4.611111111,0.804192918
4.638888889,0.76178658
4.666666667,0.721317669
4.694444444,0.68696903
4.722222222,0.662905897
4.75,0.653483227
4.777777778,0.663836762
4.805555556,0.700938602
4.833333333,0.775271201
4.861111111,0.903310549
4.888888889,1.110713778
4.916666667,1.434548778
4.944444444,1.918009141
